# V = 1
0          0.25000000        0.00000000       -0.00000000        0.00000000
1         -0.12533329        0.00008977        0.00000000        0.00000000
2          0.02800273        0.00009938       -0.00000000        0.00000000
3         -0.02489921        0.00012764        0.00000000        0.00000000
4          0.01141507        0.00017407       -0.00000000        0.00000000
5         -0.01138600        0.00012048        0.00000000        0.00000000
6          0.00651749        0.00007282        0.00000000        0.00000000
7         -0.00678140        0.00004668       -0.00000000        0.00000000
8          0.00438371        0.00004490        0.00000000        0.00000000
9         -0.00473532        0.00005067       -0.00000000        0.00000000
10        0.00336503        0.00005967        0.00000000        0.00000000
11       -0.00371558        0.00004601       -0.00000000        0.00000000
12        0.00282098        0.00003861        0.00000000        0.00000000
13       -0.00328043        0.00003957       -0.00000000        0.00000000
14        0.00266225        0.00004122        0.00000000        0.00000000



# V=2
0         0.25000000        0.00000000       -0.00000000        0.00000000
1        -0.14889014        0.00029402        0.00000000        0.00000000
2         0.06230010        0.00048142       -0.00000000        0.00000000
3        -0.05260996        0.00056897       -0.00000000        0.00000000
4         0.03753715        0.00066506        0.00000000        0.00000000
5        -0.03441692        0.00064726       -0.00000000        0.00000000
6         0.02879806        0.00070539        0.00000000        0.00000000
7        -0.02842906        0.00084603       -0.00000000        0.00000000
8         0.02528321        0.00095884        0.00000000        0.00000000
9        -0.02444254        0.00092702       -0.00000000        0.00000000
10        0.02249742        0.00094799        0.00000000        0.00000000
11       -0.02225259        0.00085082       -0.00000000        0.00000000
12        0.02107997        0.00100162        0.00000000        0.00000000
13       -0.02145574        0.00105308       -0.00000000        0.00000000
14        0.02052992        0.00097170        0.00000000        0.00000000


#V = 2.5
0         0.25000000        0.00000000       -0.00000000        0.00000000
1        -0.16438757        0.00276659        0.00000000        0.00000000
2         0.08680554        0.00331983       -0.00000000        0.00000000
3        -0.07627483        0.00400312       -0.00000000        0.00000000
4         0.06274469        0.00510704        0.00000000        0.00000000
5        -0.05808555        0.00339339       -0.00000000        0.00000000
6         0.05176809        0.00314668        0.00000000        0.00000000
7        -0.04938294        0.00307677       -0.00000000        0.00000000
8         0.04597808        0.00311009        0.00000000        0.00000000
9        -0.04431517        0.00239529       -0.00000000        0.00000000
10        0.04431146        0.00344727        0.00000000        0.00000000
11       -0.04486639        0.00426909       -0.00000000        0.00000000
12        0.04238045        0.00324213        0.00000000        0.00000000
13       -0.04230315        0.00324887       -0.00000000        0.00000000
14        0.04136103        0.00315164        0.00000000        0.00000000
