#ty = 0

0  0.80087285415693787E+000  0.20364045785825824E-002 -0.31591129399697260E-017  0.20748291942716493E-017
1  -0.41246466798652831E+000  0.58719770815059474E-002 -0.67299071312036858E-016  0.11301355284187620E-016
2  0.13444768233114479E+000  0.36640373525590351E-002  0.11598229742054977E-015  0.11945394021094028E-016
3  -0.10041401167949351E+000  0.18366352320403423E-002 -0.24604573521877105E-015  0.19787346736641963E-016
4  0.61318833501215066E-001  0.98839136867371006E-002  0.22326145521458593E-015  0.81488162213178213E-017
5  -0.39684587988747938E-001  0.12681564698161578E-001 -0.19651209297959667E-015  0.42478302773165815E-017
6  0.30374206884811135E-001  0.14254662962470842E-001  0.47347562523401811E-015  0.17098761203927128E-016
7  -0.19746402386900883E-001  0.11073612077605712E-001 -0.45506841346293313E-015  0.13361706440329672E-016


#ty = 1

0  0.77502866536858084E+000  0.23355506366194456E-002 -0.55053072432450954E-016  0.75980552912592668E-017
1  -0.34545413878193948E+000  0.17290847257967326E-001 -0.16880771798331267E-016  0.66641458016806517E-017
2  0.11342400829354173E+000  0.55143042114028252E-002  0.64637209728974841E-016  0.13053194499052961E-016
3  -0.98162765127248794E-001  0.12100660079297278E-001 -0.20561707630878122E-015  0.11386870550655383E-016
4  0.70628658068037461E-001  0.92040062353415178E-002  0.19385328455209706E-015  0.10476285313857380E-016
5  -0.49180843628820831E-001  0.14750338702691154E-001 -0.17415932833380463E-015  0.92805886054361796E-017
6  0.46388617113667319E-001  0.27255426007052941E-001  0.44904871265378193E-015  0.23832590145153373E-016
7  -0.29880262290898359E-001  0.16965960334631807E-001 -0.42515547305576687E-015  0.26183163974880650E-016


#ty = 2

0  0.73511627221090126E+000  0.54912829432050044E-003 -0.11319068932503138E-015  0.17594884644026397E-017
1  -0.77954862933545754E-001  0.75173745261179325E-002 -0.11735049959743945E-017  0.12584874036375283E-016
2  0.22031934078852369E-001  0.42817016245693318E-002  0.40135224172951701E-016  0.19602241667940483E-016
3  -0.91804429722397683E-002  0.29445528362570185E-002 -0.10665210155200264E-015  0.18527179202931874E-016
4  0.29692365818215728E-002  0.30572628252887521E-002  0.72460216872658817E-016  0.33070642715524426E-017
5  0.18892662748750067E-003  0.39793813717428550E-002 -0.85849318962964567E-016  0.14063168079103065E-016
6  0.24890563385449394E-002  0.54807827912358668E-002  0.19161618382294623E-015  0.12293208528270816E-016
7  0.15576832889772946E-002  0.68570470862257147E-002 -0.18446976489057810E-015  0.61738456369943509E-017
