-13.000000	-0.02218945	0.00196663
-12.000000	0.02246861	0.00280382
-11.000000	-0.02251647	0.00164870
-10.000000	0.02201028	0.00144907
-9.000000	-0.02444781	0.00161667
-8.000000	0.02632484	0.00273796
-7.000000	-0.03029377	0.00324681
-6.000000	0.03039146	0.00238845
-5.000000	-0.03622829	0.00232911
-4.000000	0.03890140	0.00153977
-3.000000	-0.05322787	0.00069137
-2.000000	0.06211768	0.00064578
-1.000000	-0.14847031	0.00037641
0.000000	0.25000000	0.00000000
1.000000	-0.14847031	0.00037641
2.000000	0.06211768	0.00064578
3.000000	-0.05322787	0.00069137
4.000000	0.03890140	0.00153977
5.000000	-0.03622829	0.00232911
6.000000	0.03039146	0.00238845
7.000000	-0.03029377	0.00324681
8.000000	0.02632484	0.00273796
9.000000	-0.02444781	0.00161667
10.000000	0.02201028	0.00144907
11.000000	-0.02251647	0.00164870
12.000000	0.02246861	0.00280382
13.000000	-0.02218945	0.00196663
14.000000	0.02075531	0.00128986
