#ty = 0

.00000000000000000E+000 0.80087285415693787E+000 0.20364045785825824E-002
0.10000000000000000E+001 -0.41246466798652831E+000 0.58719770815059474E-002
0.20000000000000000E+001 0.13444768233114479E+000 0.36640373525590351E-002
0.30000000000000000E+001 -0.10041401167949351E+000 0.18366352320403423E-002
0.40000000000000000E+001 0.61318833501215066E-001 0.98839136867371006E-002
0.50000000000000000E+001 -0.39684587988747938E-001 0.12681564698161578E-001
0.60000000000000000E+001 0.30374206884811135E-001 0.14254662962470842E-001
0.70000000000000000E+001 -0.19746402386900883E-001 0.11073612077605712E-001


#ty = 1

0.00000000000000000E+000 0.77502866536858084E+000 0.23355506366194456E-002
0.10000000000000000E+001 -0.34545413878193948E+000 0.17290847257967326E-001
0.20000000000000000E+001 0.11342400829354173E+000 0.55143042114028252E-002
0.30000000000000000E+001 -0.98162765127248794E-001 0.12100660079297278E-001
0.40000000000000000E+001 0.70628658068037461E-001 0.92040062353415178E-002
0.50000000000000000E+001 -0.49180843628820831E-001 0.14750338702691154E-001
0.60000000000000000E+001 0.46388617113667319E-001 0.27255426007052941E-001
0.70000000000000000E+001 -0.29880262290898359E-001 0.16965960334631807E-001


#ty = 2

0.00000000000000000E+000 0.73511627221090126E+000 0.54912829432050044E-003
0.10000000000000000E+001 -0.77954862933545754E-001 0.75173745261179325E-002
0.20000000000000000E+001 0.22031934078852369E-001 0.42817016245693318E-002
0.30000000000000000E+001 -0.91804429722397683E-002 0.29445528362570185E-002
0.40000000000000000E+001 0.29692365818215728E-002 0.30572628252887521E-002
0.50000000000000000E+001 0.18892662748750067E-003 0.39793813717428550E-002
0.60000000000000000E+001 0.24890563385449394E-002 0.54807827912358668E-002
0.70000000000000000E+001 0.15576832889772946E-002 0.68570470862257147E-002
