# V = 1.0

0.00000000000000000E+000 0.25000000000000006E+000 0.16653345369377348E-015
0.10000000000000000E+001 -0.12485847564928568E+000 0.78978988278179821E-004
0.20000000000000000E+001 0.27158236593575795E-001 0.99917302496996933E-004
0.30000000000000000E+001 -0.24436319288825371E-001 0.11884951515079272E-003
0.40000000000000000E+001 0.11054191328338689E-001 0.90225765962491931E-004
0.50000000000000000E+001 -0.11075517531997861E-001 0.88607405473823761E-004
0.60000000000000000E+001 0.63122232869041563E-002 0.67679950160548941E-004
0.70000000000000000E+001 -0.66468567340347388E-002 0.80365913027573068E-004
0.80000000000000000E+001 0.42946836373764863E-002 0.68765269537706333E-004
0.90000000000000000E+001 -0.46428064713458332E-002 0.58056637822345776E-004
0.10000000000000000E+002 0.32993692606376490E-002 0.58510894546516086E-004
0.11000000000000000E+002 -0.36891505751310751E-002 0.53363806033937644E-004
0.12000000000000000E+002 0.28124342838241382E-002 0.52570717921318117E-004
0.13000000000000000E+002 -0.32664061956325739E-002 0.59202484259488879E-004
0.14000000000000000E+002 0.26438009307607887E-002 0.53347899225270481E-004


# V = 2.0

0.00000000000000000E+000 0.25000000000000000E+000 0.16653345369377348E-015
0.10000000000000000E+001 -0.14837326709044846E+000 0.33855088519035880E-003
0.20000000000000000E+001 0.61645826537780411E-001 0.45354555955149235E-003
0.30000000000000000E+001 -0.52220998437308916E-001 0.49036216367773070E-003
0.40000000000000000E+001 0.36940890281688725E-001 0.54013692238879466E-003
0.50000000000000000E+001 -0.33602555439462445E-001 0.41664692820826308E-003
0.60000000000000000E+001 0.27194817524732684E-001 0.45872418687599529E-003
0.70000000000000000E+001 -0.25814772550406467E-001 0.52870098689907928E-003
0.80000000000000000E+001 0.22695390541997738E-001 0.62870392828494174E-003
0.90000000000000000E+001 -0.22137039028389670E-001 0.59279948475522844E-003
0.10000000000000000E+002 0.19773059836247286E-001 0.49850041221950227E-003
0.11000000000000000E+002 -0.19620277847282253E-001 0.46269005073006287E-003
0.12000000000000000E+002 0.18473754356985304E-001 0.43469550686785143E-003
0.13000000000000000E+002 -0.18845837298137279E-001 0.47781082978364442E-003
0.14000000000000000E+002 0.18153031421910017E-001 0.54249507645360065E-003


# V = 2.5
0.00000000000000000E+000 0.25000000000000006E+000 0.12412670766236366E-015
0.10000000000000000E+001 -0.16063352997834843E+000 0.74311578849755255E-003
0.20000000000000000E+001 0.81619654082300958E-001 0.11419670612491703E-002
0.30000000000000000E+001 -0.71525630952384497E-001 0.95670571785530804E-003
0.40000000000000000E+001 0.57435236165254040E-001 0.95659576819908895E-003
0.50000000000000000E+001 -0.53693305078941815E-001 0.11933519151418083E-002
0.60000000000000000E+001 0.47216729196167553E-001 0.13911888994578424E-002
0.70000000000000000E+001 -0.44795167211723018E-001 0.16474956309752175E-002
0.80000000000000000E+001 0.41558729073216220E-001 0.19274374202130366E-002
0.90000000000000000E+001 -0.41185302714945991E-001 0.18550610720036392E-002
0.10000000000000000E+002 0.39028243457991087E-001 0.17854428741840283E-002
0.11000000000000000E+002 -0.39169755571875631E-001 0.17894958792504521E-002
0.12000000000000000E+002 0.38151050081908632E-001 0.20786337274436035E-002
0.13000000000000000E+002 -0.37132146190050577E-001 0.20526868044026215E-002
0.14000000000000000E+002 0.36332021230633234E-001 0.19181967274737532E-002
